TradeDate,Amount_NOK
2024-04-29,0.0
2024-05-08,-21118.91
2024-05-09,20000.0
2024-05-10,-19184.6
2024-05-13,28000.0
2024-05-15,-12355.6
2024-05-17,0.0
2024-06-05,-1606.1399999999999
2024-06-08,0.0
2024-06-10,17955.440000000002
2024-06-15,0.0
2024-07-09,15000.0
2024-07-10,-8532.26
2024-07-17,-6401.76
2024-07-25,-35613.34
2024-08-01,0.0
2024-08-13,0.0
2024-09-02,40000.0
2024-09-03,-30001.64
2024-09-04,-11873.4
2024-09-05,-1572.5100000000002
2024-09-12,8000.0
2024-09-23,-19901.81
2024-10-07,-91.68
2024-10-14,8000.0
2024-10-15,-40000.0
2024-10-21,46000.0
2024-10-24,-3000.0
2024-11-01,219.40000000000146
2024-11-04,28686.06
2024-11-05,-5079.38
2024-11-07,-80179.8
2024-11-08,60000.0
2024-11-11,-62141.34
2024-11-12,61900.0
2024-11-13,46134.93
2024-11-22,93850.04
2024-11-25,-9572.97
2024-11-27,-398.54
2024-11-28,-34700.56
2024-11-29,-11085.0
2024-12-02,-11820.199999999999
2024-12-04,-10542.96
2024-12-05,-2757.37
2024-12-11,24931.0
2024-12-12,8000.0
2024-12-16,29973.63
2024-12-23,-12191.1
2024-12-27,-26631.8
2024-12-28,0.0
2024-12-30,-56930.71
2024-12-31,-61819.0
2025-01-07,-2688.09
2025-01-13,-62000.0
2025-01-14,70000.0
2025-01-17,-60668.78
2025-01-20,-100000.0
2025-01-22,100000.0
2025-01-23,10000.0
2025-01-24,-1571.5999999999985
2025-01-27,-63199.89
2025-01-29,-24819.0
2025-02-03,28098.16
2025-02-04,0.0
2025-02-05,-3382.12
2025-02-06,-24823.18
2025-02-12,7724.799999999999
2025-02-25,-1544.78
2025-02-27,-45000.0
2025-03-03,0.0
2025-03-05,-3388.24
2025-03-10,13607.74
2025-03-12,8000.0
2025-03-14,9065.36
2025-03-17,9054.51
2025-03-24,0.0
2025-04-07,-53411.77
2025-04-08,50000.0
2025-04-14,8000.0
2025-04-15,-49996.0
2025-04-22,50000.0
2025-04-23,-30427.82
2025-04-24,-20000.0
2025-04-25,19900.0
2025-04-28,-5133.209999999999
2025-04-29,0.0
2025-04-30,20839.289999999997
2025-05-02,-9691.0
2025-05-05,-3398.8100000000013
2025-05-08,-4.547473508864641e-13
2025-05-09,0.0
2025-05-12,3500.0
2025-05-15,0.0
2025-05-21,-19679.2
2025-05-27,-65000.0
2025-06-04,-100000.0
2025-06-09,-3162.0
2025-06-12,17002.33
2025-06-16,0.0
2025-07-08,500.0
2025-07-31,-25400.0
2025-08-01,-7500.0
2025-08-12,5313.8499999999985
2025-08-13,0.0
2025-08-20,-1601.77
2025-08-26,11356.47
2025-08-27,100703.72
2025-08-29,67132.95
2025-09-01,37953.41
2025-09-02,0.0
2025-09-03,0.0
2025-09-04,0.0
2025-09-05,26410.32
2025-09-11,0.0
2025-09-15,26839.68
2025-09-18,0.0
2025-09-24,-100000.0
2025-09-25,0.0
2025-09-29,-10000.0
2025-10-12,0.0
2025-10-13,-65166.29
2025-10-15,-166380.71000000002
2025-10-20,-627.9200000000001
2025-11-12,3500.0
2025-11-19,0.0
2025-11-20,0.0
2025-11-21,-53886.87
2025-11-24,-31525.940000000002
2025-11-25,-42057.74
2025-11-26,-1148.0599999999977
